arduino,multimeter,chauvenet
5.00,5.01,5.00
5.00,5.01,5.00
5.01,5.01,5.00
5.00,5.01,5.00
5.00,5.01,5.00
5.01,5.01,5.00
5.01,5.01,5.00
5.00,5.01,5.00
5.01,5.01,5.00
5.01,5.01,5.00
5.00,5.01,5.00
5.00,5.01,5.00
5.01,5.01,5.00
5.00,5.01,5.00
5.00,5.01,5.00
5.01,5.01,5.00
5.01,5.01,5.00
5.00,5.01,5.00
5.00,5.01,5.00
5.01,5.01,5.00
5.00,5.01,5.00
5.00,5.01,5.00
5.00,5.01,5.00
5.00,5.01,5.00
5.00,5.01,5.00
5.01,5.01
5.01,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.01,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.01,5.01
5.00,5.01
5.00,5.01
5.01,5.01
5.00,5.01
5.01,5.01
5.01,5.01
5.00,5.01
5.00,5.01
5.01,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.00,5.01
5.01,5.01
5.00,5.01
5.00,5.01
5.01,5.01
5.00,5.01
5.01,5.01
5.00,5.01
5.01,5.01
5.00,5.01
5.01,5.01
